column_name,column_type,max_difference_at_T_and_earlier,mean_difference,causality_status
open,model_input,0.00000000,0.00000000,PASS_CAUSAL
high,model_input,0.00000000,0.00000000,PASS_CAUSAL
low,model_input,0.00000000,0.00000000,PASS_CAUSAL
close,model_input,0.00000000,0.00000000,PASS_CAUSAL
ret_1,model_input,0.00000000,0.00000000,PASS_CAUSAL
ret_5,model_input,0.00000000,0.00000000,PASS_CAUSAL
ret_15,model_input,0.00000000,0.00000000,PASS_CAUSAL
realized_vol_20,model_input,0.00000000,0.00000000,PASS_CAUSAL
ema_20,model_input,0.00000000,0.00000000,PASS_CAUSAL
ema_50,model_input,0.00000000,0.00000000,PASS_CAUSAL
dist_ema_20,model_input,0.00000000,0.00000000,PASS_CAUSAL
dist_ema_50,model_input,0.00000000,0.00000000,PASS_CAUSAL
dist_ema_200,model_input,0.00000000,0.00000000,PASS_CAUSAL
ema_spread_20_50,model_input,0.00000000,0.00000000,PASS_CAUSAL
atr_14,model_input,0.00000000,0.00000000,PASS_CAUSAL
norm_atr_14,model_input,0.00000000,0.00000000,PASS_CAUSAL
bb_bandwidth,model_input,0.00000000,0.00000000,PASS_CAUSAL
bb_pct_b,model_input,0.00000000,0.00000000,PASS_CAUSAL
rsi_14,model_input,0.00000000,0.00000000,PASS_CAUSAL
macd_hist,model_input,0.00000000,0.00000000,PASS_CAUSAL
adx_14,model_input,0.00000000,0.00000000,PASS_CAUSAL
candle_body_ratio,model_input,0.00000000,0.00000000,PASS_CAUSAL
candle_upper_wick_ratio,model_input,0.00000000,0.00000000,PASS_CAUSAL
candle_lower_wick_ratio,model_input,0.00000000,0.00000000,PASS_CAUSAL
range_pos_20,model_input,0.00000000,0.00000000,PASS_CAUSAL
regime_code,model_input,0.00000000,0.00000000,PASS_CAUSAL
is_asian_session,model_input,0.00000000,0.00000000,PASS_CAUSAL
is_london_session,model_input,0.00000000,0.00000000,PASS_CAUSAL
is_ny_session,model_input,0.00000000,0.00000000,PASS_CAUSAL
is_london_ny_overlap,model_input,0.00000000,0.00000000,PASS_CAUSAL
day_of_week,model_input,0.00000000,0.00000000,PASS_CAUSAL
hour_of_day,model_input,0.00000000,0.00000000,PASS_CAUSAL
h1_dist_ema_50,model_input,0.00000000,0.00000000,PASS_CAUSAL
h1_trend_bull,model_input,0.00000000,0.00000000,PASS_CAUSAL
econ_is_blackout,model_input,0.00000000,0.00000000,PASS_CAUSAL
econ_time_to_event_sec,model_input,0.00000000,0.00000000,PASS_CAUSAL
econ_time_since_event_sec,model_input,0.00000000,0.00000000,PASS_CAUSAL
econ_importance,model_input,0.00000000,0.00000000,PASS_CAUSAL
econ_surprise,model_input,0.00000000,0.00000000,PASS_CAUSAL
news_sentiment,model_input,0.00000000,0.00000000,PASS_CAUSAL
news_uncertainty,model_input,0.00000000,0.00000000,PASS_CAUSAL
news_severity,model_input,0.00000000,0.00000000,PASS_CAUSAL
news_article_count,model_input,0.00000000,0.00000000,PASS_CAUSAL
regime,meta_regime,0.00000000,0.00000000,PASS_CAUSAL
regime_code,model_input,0.00000000,0.00000000,PASS_CAUSAL
