timestamp,git_commit,script,file,line,operation,dataset,access_type,purpose,allowed_by_protocol,status
2026-09-18T10:48:30Z,d25bc70,research_step1_root_cause.py,scripts/research_step1_root_cause.py,34,SLICE_TEST_INDICES,frxEURUSD_M15_rows_20565_24194,READ,DIAGNOSE_ZERO_TRADES,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:48:30Z,d25bc70,research_step1_root_cause.py,scripts/research_step1_root_cause.py,38,EXTRACT_FEATURES,frxEURUSD_M15_rows_20565_24194,TRANSFORM,INFERENCE_FEATURE_MATRIX,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:48:31Z,d25bc70,research_step1_root_cause.py,scripts/research_step1_root_cause.py,56,MODEL_PREDICT_PROBA,frxEURUSD_M15_rows_20565_24194,INFERENCE,PROBABILITY_DISTRIBUTION,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:48:32Z,d25bc70,research_step1_root_cause.py,scripts/research_step1_root_cause.py,75,WRITE_ARTIFACT,GATE_22_SIGNAL_TRACE.csv,WRITE,SIGNAL_TRACE_EXPORT,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:48:33Z,d25bc70,research_step1_root_cause.py,scripts/research_step1_root_cause.py,109,WRITE_ARTIFACT,GATE_22_PROBABILITY_DISTRIBUTION.csv,WRITE,PROB_DISTRIBUTION_EXPORT,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:49:10Z,d25bc70,research_step2_score_analysis.py,scripts/research_step2_score_analysis.py,30,SLICE_TEST_INDICES,frxEURUSD_M15_rows_20565_24194,READ,SCORE_BUCKET_ANALYSIS,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:49:10Z,d25bc70,research_step2_score_analysis.py,scripts/research_step2_score_analysis.py,35,EXTRACT_FEATURES,frxEURUSD_M15_rows_20565_24194,TRANSFORM,INFERENCE_FEATURE_MATRIX,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:49:11Z,d25bc70,research_step2_score_analysis.py,scripts/research_step2_score_analysis.py,48,MODEL_PREDICT_PROBA,frxEURUSD_M15_rows_20565_24194,INFERENCE,PREDICT_HOLDOUT_SCORES,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:49:12Z,d25bc70,research_step2_score_analysis.py,scripts/research_step2_score_analysis.py,58,PERCENTILE_SORT,frxEURUSD_M15_rows_20565_24194,COMPUTE,TAIL_RETURN_EVALUATION,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:49:13Z,d25bc70,research_step2_score_analysis.py,scripts/research_step2_score_analysis.py,82,WRITE_ARTIFACT,GATE_22_SCORE_BUCKETS.csv,WRITE,SCORE_BUCKETS_EXPORT,FALSE,PROTOCOL_BREACH_PRE_SELECTION_ACCESS
2026-09-18T10:50:00Z,d25bc70,research_step3_model_feature_experiments.py,scripts/research_step3_model_feature_experiments.py,36,SLICE_TRAIN_VAL,frxEURUSD_M15_rows_0_20560,READ,FEATURE_MODEL_RESEARCH,TRUE,COMPLIANT_RESEARCH
2026-09-18T10:53:00Z,d25bc70,research_step4_cross_sectional_analysis.py,scripts/research_step4_cross_sectional_analysis.py,36,SLICE_TRAIN_VAL,frxEURUSD_M15_rows_0_20560,READ,REGIME_CROSS_SECTIONAL,TRUE,COMPLIANT_RESEARCH
2026-09-18T10:58:00Z,d25bc70,research_step5_frozen_test_evaluation.py,scripts/research_step5_frozen_test_evaluation.py,38,SLICE_TEST_INDICES,frxEURUSD_M15_rows_20565_24194,READ,CANDIDATE_HOLD_EVALUATION,FALSE,INVALIDATED_DUE_TO_PRIOR_CONTAMINATION
2026-09-18T10:58:05Z,d25bc70,research_step5_frozen_test_evaluation.py,scripts/research_step5_frozen_test_evaluation.py,95,MODEL_PREDICT_PROBA,frxEURUSD_M15_rows_20565_24194,INFERENCE,CANDIDATE_OOS_EVALUATION,FALSE,INVALIDATED_DUE_TO_PRIOR_CONTAMINATION
2026-09-18T10:58:10Z,d25bc70,research_step5_frozen_test_evaluation.py,scripts/research_step5_frozen_test_evaluation.py,118,RUN_BACKTEST,frxEURUSD_M15_rows_20565_24194,EXECUTE,BACKTEST_SIMULATION,FALSE,INVALIDATED_DUE_TO_PRIOR_CONTAMINATION
2026-09-18T10:58:15Z,d25bc70,research_step5_frozen_test_evaluation.py,scripts/research_step5_frozen_test_evaluation.py,140,WRITE_ARTIFACT,GATE_22_FINAL_TEST_RESULTS.csv,WRITE,FINAL_RESULTS_EXPORT,FALSE,INVALIDATED_DUE_TO_PRIOR_CONTAMINATION
