direction,percentile_bucket,N,mean_gross_bps,median_gross_bps,win_rate_gross_pct,se_gross_bps,ci95_gross_lower,ci95_gross_upper,ci99_gross_lower,ci99_gross_upper,mean_net_bps,median_net_bps,win_rate_net_pct,se_net_bps,ci95_net_lower,ci95_net_upper,ci99_net_lower,ci99_net_upper
BUY,Top_0.5%,19,3.43,1.48,63.2,2.58,0.03,7.34,-1.19,8.66,1.61,-0.34,47.4,2.58,-1.79,5.52,-3.01,6.84
BUY,Top_1.0%,37,1.96,1.04,62.2,1.48,0.18,4.65,-0.65,5.35,0.14,-0.78,43.2,1.48,-1.64,2.83,-2.47,3.53
BUY,Top_2.0%,76,2.24,1.39,60.5,1.15,0.46,4.4,0.06,5.01,0.42,-0.43,47.4,1.15,-1.36,2.58,-1.76,3.19
BUY,Top_5.0%,190,1.13,0.6,54.2,0.64,-0.37,2.72,-0.83,3.33,-0.69,-1.22,42.1,0.64,-2.19,0.9,-2.65,1.51
BUY,Top_10.0%,363,0.43,0.0,49.9,0.42,-0.59,1.66,-1.01,2.04,-1.39,-1.82,37.5,0.42,-2.41,-0.16,-2.83,0.22
BUY,Top_20.0%,726,0.3,-0.26,47.5,0.3,-0.56,1.24,-0.83,1.5,-1.52,-2.08,35.8,0.3,-2.38,-0.58,-2.65,-0.32
SELL,Top_0.5%,19,0.73,0.09,52.6,2.68,-5.77,6.11,-7.4,7.43,-1.09,-1.73,36.8,2.68,-7.59,4.29,-9.22,5.61
SELL,Top_1.0%,43,1.14,1.13,58.1,1.43,-2.14,5.03,-3.39,5.76,-0.68,-0.69,41.9,1.43,-3.96,3.21,-5.21,3.94
SELL,Top_2.0%,73,0.99,1.04,58.9,0.97,-1.18,3.34,-1.99,3.93,-0.83,-0.78,42.5,0.97,-3.0,1.52,-3.81,2.11
SELL,Top_5.0%,182,0.64,0.65,57.7,0.49,-0.52,1.85,-0.88,2.14,-1.18,-1.17,40.1,0.49,-2.34,0.03,-2.7,0.32
SELL,Top_10.0%,365,0.14,0.17,51.0,0.39,-0.96,1.32,-1.3,1.61,-1.68,-1.65,38.4,0.39,-2.78,-0.5,-3.12,-0.21
SELL,Top_20.0%,730,-0.26,0.04,50.0,0.28,-1.06,0.54,-1.34,0.72,-2.08,-1.78,35.5,0.28,-2.88,-1.28,-3.16,-1.1
