dimension,subgroup,sample_count,gross_expectancy_buy_bps,net_expectancy_buy_bps,gross_expectancy_sell_bps,net_expectancy_sell_bps
GLOBAL_UNCONDITIONAL,ALL_TEST_SAMPLES,3630,0.08,-1.74,-0.08,-1.90
PROBABILITY_QUINTILE_BUY,"(-0.001, 0.00319]",777,0.01,-1.81,N/A,N/A
PROBABILITY_QUINTILE_BUY,"(0.00319, 0.018]",703,-0.04,-1.86,N/A,N/A
PROBABILITY_QUINTILE_BUY,"(0.018, 0.0301]",699,0.04,-1.78,N/A,N/A
PROBABILITY_QUINTILE_BUY,"(0.0301, 0.0428]",725,0.10,-1.71,N/A,N/A
PROBABILITY_QUINTILE_BUY,"(0.0428, 0.127]",726,0.30,-1.52,N/A,N/A
MARKET_REGIME,HIGH_VOLATILITY,518,0.38,-1.44,-0.38,-2.20
MARKET_REGIME,LOW_VOLATILITY,265,0.24,-1.58,-0.24,-2.06
MARKET_REGIME,RANGE,764,-0.13,-1.95,0.13,-1.69
MARKET_REGIME,TREND_DOWN,776,-0.02,-1.84,0.02,-1.79
MARKET_REGIME,TREND_UP,685,0.36,-1.46,-0.36,-2.18
MARKET_REGIME,UNCERTAIN,622,-0.16,-1.97,0.16,-1.66
MARKET_SESSION,ASIA,1225,-0.20,-2.02,0.20,-1.62
MARKET_SESSION,LONDON,1393,0.32,-1.50,-0.32,-2.14
MARKET_SESSION,NEW_YORK,1404,0.23,-1.59,-0.23,-2.05
MARKET_SESSION,LONDON_NY_OVERLAP,624,0.58,-1.24,-0.58,-2.39
