configuration,feature_count,val_balanced_acc,val_macro_f1,val_brier_macro,top_5pct_buy_return_bps,notes
BASE_ONLY,4,0.3331,0.3153,0.0800,0.12,Validation fold purged evaluation
BASE+TREND,10,0.3407,0.3096,0.1424,-0.07,Validation fold purged evaluation
BASE+MOMENTUM,10,0.3431,0.3367,0.0682,-0.89,Validation fold purged evaluation
BASE+VOLATILITY,9,0.3695,0.3622,0.0719,1.62,Validation fold purged evaluation
BASE+STRUCTURE,8,0.3324,0.3171,0.0799,0.59,Validation fold purged evaluation
BASE+SESSION,10,0.4169,0.3547,0.1221,-1.04,Validation fold purged evaluation
BASE+MTF,6,0.3045,0.2650,0.1965,0.55,Validation fold purged evaluation
BASE+REGIME,5,0.3462,0.3375,0.0871,-1.45,Validation fold purged evaluation
CORE_QUANT (BASE+TREND+MOM+VOL),21,0.3743,0.3682,0.0730,-0.02,Validation fold purged evaluation
ALL_FEATURES (43),43,0.3767,0.3717,0.0728,-0.27,Validation fold purged evaluation
