feature_name,mean_importance,std_importance,importance_ratio,rank
hour_of_day,0.02061561049602544,0.00685753213488261,3.005834206298181,1
norm_atr_14,0.019475407268927703,0.0027035361515156684,7.201015692843799,2
atr_14,0.018791231301564737,0.004207175090641614,4.465410990943266,3
ema_20,0.01435873278670915,0.004405014694238203,3.258893531491448,4
is_london_session,0.013035411511791217,0.0024686786552724016,5.278181225708262,5
ema_50,0.00949910654355538,0.004241722310161119,2.238917810106372,6
bb_pct_b,0.008622880807668298,0.004434704824587086,1.9439708340987252,7
low,0.007975922318059502,0.003856457577202776,2.0676630030091525,8
is_london_ny_overlap,0.007784716193093499,0.00403884578297929,1.9269835066210017,9
realized_vol_20,0.00634529676773613,0.00191659735323986,3.308982856602033,10
day_of_week,0.005640501298689715,0.003470169714789179,1.6249569344471795,11
macd_hist,0.004578335100719167,0.0028129880563512056,1.6269916606027548,12
high,0.0033010777119893754,0.004260090536375408,0.7747025518019985,13
dist_ema_20,0.003117959664169179,0.0023089035537091646,1.3498224456871653,14
rsi_14,0.0028037901208201933,0.0009328593631226904,3.002368698692194,15
adx_14,0.002772428382482206,0.00552801380344017,0.5014327113376335,16
dist_ema_200,0.0021812001332008777,0.003323690606443524,0.6560610869996542,17
regime_code,0.0019217726297194315,0.003527476822754534,0.5446465220704452,18
close,0.0017503020765290756,0.0019119670743235225,0.9149671732578202,19
ret_1,0.0015842441129083173,0.0048058534249126915,0.3295802831635318,20
h1_dist_ema_50,0.0008560256861973814,0.0063207927040681575,0.13540869279793333,21
ret_5,0.0005191085739873813,0.004006313753535262,0.12954028706372753,22
is_ny_session,0.00034917601144094366,0.002473556005319407,0.14110653009684995,23
candle_lower_wick_ratio,0.0002532779106911298,0.0023451634969983834,0.10795407524461384,24
econ_time_to_event_sec,0.0,0.0,0.0,25
news_article_count,0.0,0.0,0.0,26
econ_time_since_event_sec,0.0,0.0,0.0,27
econ_importance,0.0,0.0,0.0,28
econ_is_blackout,0.0,0.0,0.0,29
econ_surprise,0.0,0.0,0.0,30
news_sentiment,0.0,0.0,0.0,31
news_uncertainty,0.0,0.0,0.0,32
news_severity,0.0,0.0,0.0,33
h1_trend_bull,-0.0002049390306383847,0.00014491377829421517,-1.4045214443364846,34
open,-0.0004450741121907797,0.0013937646355025276,-0.31910338193398596,35
candle_upper_wick_ratio,-0.0018452309351011608,0.003969071186399193,-0.46478535231877366,36
candle_body_ratio,-0.002162687370627525,0.004246307704827289,-0.5091901790325944,37
range_pos_20,-0.0034628179268379133,0.002042567785835477,-1.6944962388033538,38
dist_ema_50,-0.004177303447876435,0.0032558407556209524,-1.2826244085366667,39
ema_spread_20_50,-0.00608593324845712,0.0018616528492968523,-3.267347026449157,40
ret_15,-0.01080086040267959,0.005076059268921412,-2.1273851319396084,41
is_asian_session,-0.012478348456829024,0.0025619743007640845,-4.868698235916344,42
bb_bandwidth,-0.017424943449813955,0.006544636370043531,-2.6620701891660494,43
