trial_id,learning_rate,max_iter,min_samples_leaf,l2_regularization,class_weight,val_balanced_acc,val_macro_f1,val_brier_macro
TRIAL_06,0.03,100,20,0.0,balanced,0.5036,0.3764,0.1463
TRIAL_07,0.05,100,20,0.0,balanced,0.4922,0.3770,0.1364
TRIAL_08,0.1,100,20,0.0,balanced,0.4887,0.3986,0.1146
TRIAL_12,0.08,80,30,0.5,balanced,0.4879,0.3799,0.1308
TRIAL_10,0.05,100,100,2.0,balanced,0.4850,0.3828,0.1329
TRIAL_09,0.05,150,50,1.0,balanced,0.4779,0.3778,0.1329
TRIAL_11,0.02,200,50,5.0,balanced,0.4778,0.3661,0.1424
TRIAL_04,0.05,150,50,1.0,None,0.3926,0.3819,0.0716
TRIAL_03,0.1,100,20,0.0,None,0.3767,0.3717,0.0728
TRIAL_02,0.05,100,20,0.0,None,0.3755,0.3738,0.0699
TRIAL_05,0.05,100,100,2.0,None,0.3700,0.3762,0.0641
TRIAL_01,0.03,100,20,0.0,None,0.3646,0.3661,0.0663
