direction,top_pct_bucket,sample_count,mean_probability,median_probability,win_rate_pct,mean_realized_gross_return_bps,median_gross_return_bps,estimated_cost_bps,mean_net_return_bps,mean_mae_bps,mean_mfe_bps
BUY,Top_0.5%,18,0.1213,0.1206,61.1,3.54,1.87,1.82,1.72,8.38,11.15
BUY,Top_1.0%,36,0.1173,0.1162,63.9,2.35,1.17,1.82,0.54,6.57,8.43
BUY,Top_2.0%,73,0.1115,0.1102,60.3,2.30,1.31,1.82,0.48,6.29,8.61
BUY,Top_5.0%,182,0.1043,0.1020,54.9,1.22,0.69,1.82,-0.59,5.81,7.12
BUY,Top_10.0%,363,0.0975,0.0959,49.9,0.43,0.00,1.82,-1.39,5.56,6.14
BUY,Top_20.0%,726,0.0783,0.0841,47.5,0.30,-0.26,1.82,-1.52,5.28,5.91
SELL,Top_0.5%,18,0.2683,0.2564,50.0,0.25,-0.95,1.82,-1.57,9.53,8.60
SELL,Top_1.0%,36,0.2525,0.2468,55.6,1.00,0.48,1.82,-0.82,8.39,7.84
SELL,Top_2.0%,73,0.2351,0.2284,58.9,0.99,1.04,1.82,-0.83,6.43,6.95
SELL,Top_5.0%,182,0.2153,0.2087,57.7,0.64,0.65,1.82,-1.17,5.21,5.41
SELL,Top_10.0%,363,0.1783,0.1880,51.0,0.13,0.17,1.82,-1.68,5.59,5.46
SELL,Top_20.0%,726,0.1402,0.1243,50.1,-0.24,0.09,1.82,-2.06,5.59,5.15
