funnel_stage,count,pct,description
1_TOTAL_TEST_SAMPLES,3630,100.0,Total OOS test observations in 2026-07 to 2026-09
2_MODEL_ARGMAX_HOLD,3630,100.0,Raw model probability ranked HOLD highest
2_MODEL_ARGMAX_BUY,0,0.0,Raw model probability ranked BUY highest
2_MODEL_ARGMAX_SELL,0,0.0,Raw model probability ranked SELL highest
3_CONFIDENCE_GE_0_55,0,0.0,Directional probability >= 0.55 entry threshold
3_CONFIDENCE_GE_0_20,140,3.8567493112947657,Directional probability >= 0.20 diagnostic tier
3_CONFIDENCE_GE_0_15,228,6.2809917355371905,Directional probability >= 0.15 diagnostic tier
4_DECISION_BUY,0,0.0,Decision engine passed BUY order signal
4_DECISION_SELL,0,0.0,Decision engine passed SELL order signal
4_VETO_LOW_CONFIDENCE,2490,68.59504132231406,Vetoed: P(BUY) and P(SELL) strictly < 0.55 threshold
4_VETO_ADVERSE_REGIME,1140,31.40495867768595,Vetoed: Market regime HIGH_VOLATILITY or UNCERTAIN
4_VETO_NEWS_BLACKOUT,0,0.0,Vetoed: News blackout active
5_FINAL_TRADES_EXECUTED,0,0.0,Executed broker orders filled
