trade_id,symbol,timestamp,direction,signal_probability,confidence,regime,session,entry,exit,size,gross_pnl,spread_cost,commission,slippage,swap,net_pnl,holding_time,MAE,MFE,model_version,feature_version,label_version
TRD_VAL_19000,frxEURUSD,2026-07-02 14:30:00,BUY,0.9077,0.9077,HIGH_VOLATILITY,LONDON,1.14353,1.14448,0.1,9.50,1.20,0.60,0.20,0.00,7.50,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19748,frxEURUSD,2026-07-14 15:30:00,BUY,0.8928,0.8928,HIGH_VOLATILITY,LONDON,1.14332,1.14324,0.1,-0.80,1.20,0.60,0.20,0.00,-2.80,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19749,frxEURUSD,2026-07-14 15:45:00,BUY,0.8899,0.8899,HIGH_VOLATILITY,LONDON,1.14273,1.14320,0.1,4.70,1.20,0.60,0.20,0.00,2.70,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19747,frxEURUSD,2026-07-14 15:15:00,BUY,0.8813,0.8813,HIGH_VOLATILITY,LONDON,1.14419,1.14305,0.1,-11.40,1.20,0.60,0.20,0.00,-13.40,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_18425,frxEURUSD,2026-06-24 11:45:00,BUY,0.8693,0.8693,TREND_DOWN,LONDON,1.13403,1.13290,0.1,-11.30,1.20,0.60,0.20,0.00,-13.30,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19003,frxEURUSD,2026-07-02 15:15:00,BUY,0.8596,0.8596,HIGH_VOLATILITY,LONDON,1.14406,1.14369,0.1,-3.70,1.20,0.60,0.20,0.00,-5.70,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19937,frxEURUSD,2026-07-16 14:45:00,BUY,0.8441,0.8441,HIGH_VOLATILITY,LONDON,1.14431,1.14470,0.1,3.90,1.20,0.60,0.20,0.00,1.90,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_18999,frxEURUSD,2026-07-02 14:15:00,BUY,0.8439,0.8439,HIGH_VOLATILITY,LONDON,1.14426,1.14406,0.1,-2.00,1.20,0.60,0.20,0.00,-4.00,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_19751,frxEURUSD,2026-07-14 16:15:00,BUY,0.8437,0.8437,UNCERTAIN,NEW_YORK,1.14305,1.14258,0.1,-4.70,1.20,0.60,0.20,0.00,-6.70,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
TRD_VAL_18979,frxEURUSD,2026-07-02 09:15:00,BUY,0.8436,0.8436,HIGH_VOLATILITY,LONDON,1.14097,1.14072,0.1,-2.50,1.20,0.60,0.20,0.00,-4.50,60m,N/A,N/A,HistGradientBoosting_V1,FEAT_V1_43COLS,LABEL_V1_4BAR_15P
